rating_rank,title,year,genres
287,Duck Amuck,,"Animation, Comedy"
288,Werckmeister Harmonies,,Drama
289,Good Will Hunting,,Drama
290,Seventeen: Power of Love,,"Music, Documentary"
291,World of Tomorrow,,"Animation, Drama, Science Fiction"
292,Dog Day Afternoon,,"Crime, Drama, Thriller"
293,Revue Starlight: The Movie,,"Animation, Drama, Fantasy, Action, Music"
294,The Departed,,"Drama, Thriller, Crime"
295,Maid,,"Drama, Thriller, Mystery"
296,Taylor Swift: The Eras Tour,,Music
297,Bicycle Thieves,,Drama
298,The Sacrifice,,Drama
299,Mononoke,,"Adventure, Fantasy, Animation"
300,War and Peace,,"War, Romance, Drama, History"
301,Taylor Swift City of Lover Concert,,Music
302,Twenty Years Later,,"Documentary, History"
303,Decalogue V,,"Drama, TV Movie, Crime"
304,Yojimbo,,"Drama, Thriller"
305,To Be or Not to Be,,"Comedy, War"
306,The Young Girls of Rochefort,,"Romance, Comedy, Drama"
307,Koyaanisqatsi,,Documentary
308,Pather Panchali,,Documentary
309,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,"Comedy, War"
310,Funeral Parade of Roses,,Drama
311,Wings of Desire,,"Drama, Fantasy, Romance"
312,"Jenin, Jenin",,Documentary
313,13th,,Documentary
314,Game of Thrones The IMAX Experience,,"Drama, Fantasy, Action"
315,Red Hot Chili Peppers: Live at Slane Castle,,"Music, Documentary"
316,Z,,"Horror, Thriller"
317,Harlan County U.S.A.,,Documentary
318,Monster,,"Crime, Drama"
319,Moving,,"Comedy, Family"
320,Tampopo,,Comedy
321,Gaza Fights for Freedom,,Documentary
322,Baraka,,Documentary
323,8½,,Drama
324,Children of Men,,"Drama, Action, Thriller, Science Fiction"
325,The 5 Seconds of Summer Show,,"Music, Comedy, Documentary"
326,Apocalypse: The Second World War,,
327,Everything Everywhere All at Once,,"Action, Adventure, Science Fiction"
328,Shoplifters,,"Drama, Crime, Thriller"
329,Farewell My Concubine,,Drama
330,Middleditch & Schwartz,,
331,Horace and Pete,,
332,The Look of Silence,,"History, Documentary"
333,Chungking Express,,"Drama, Comedy, Romance"
334,Chinatown,,"Crime, Drama, Mystery, Thriller"
335,Lady Gaga Presents: The Monster Ball Tour at Madison Square Garden,,"Music, Documentary"
336,World of Tomorrow Episode Three: The Absent Destinations of David Prime,,"Animation, Science Fiction, Drama"
337,2001: A Space Odyssey,,"Science Fiction, Mystery, Adventure"
338,Sharp Objects,,Comedy
339,Raise the Red Lantern,,Drama
340,Minding the Gap,,Documentary
341,National Theatre Live: Vanya,,Drama
342,Lucky Three: An Elliott Smith Portrait,,"Documentary, Music"
343,The Odyssey,,Animation
344,Prisoners,,"Drama, Thriller, Crime"
345,Frozen Planet,,Documentary
346,The Emperor's Naked Army Marches On,,Documentary
347,Fishmans: Otokotachi no Wakare 98.12.28 @ Akasaka Blitz,,"Documentary, Music"
348,Decalogue VI,,"Drama, TV Movie"
349,The Fifth Seal,,"Drama, War"
350,The Father,,Drama
351,The Owl House: Watching and Dreaming,,
352,Death of Yazdgerd,,"History, Drama"
353,The Hunt,,"Action, Thriller, Horror"
354,Puella Magi Madoka Magica,,"Thriller, Animation, Fantasy"
355,Das Boot,,"Drama, History, War"
356,The Messiah,,
357,Endless,,"Romance, Drama, Fantasy"
358,La Commune,"Paris, 1871",Drama
359,The Phantom of the Opera at the Royal Albert Hall,,"Music, Drama, Romance"
360,PNYC: Portishead - Roseland New York,,"Music, Documentary"
361,The Beaches of Agnès,,Documentary
362,9/11: One Day in America,,
363,"I, Claudius",,Documentary
364,Michael Jackson's Thriller,,"Horror, Music, Mystery"
365,Nichijou: My Ordinary Life,,
366,Spinners and Losers,,"Comedy, TV Movie"
367,The Treasure of the Sierra Madre,,"Adventure, Drama, Western"
368,Rocco and His Brothers,,"Drama, Romance"
369,The Celebration,,Drama
370,Terminator 2: Judgment Day,,"Action, Thriller, Science Fiction"
371,We Will Rock You,,Music
372,NCT DREAM THE MOVIE : In A DREAM,,"Documentary, Music"
373,Man with a Movie Camera,,Documentary
374,The Best of Youth,,"Drama, History, Romance"
375,Ways of Seeing,,Animation
376,Django Unchained,,"Drama, Western"
377,Human Planet,,"Animation, Science Fiction"
378,Daniel Sloss: X,,Comedy
379,A Special Day,,"Drama, Romance"
380,Das Boot,,"Drama, History, War"
381,La Dolce Vita,,"Comedy, Drama"
382,The Battle of Chile: Part I,,"Documentary, History"
383,The Lives of Others,,"Drama, Thriller"
384,The History of the Minnesota Vikings,,
385,Modern Times,,"Comedy, Drama, Romance"
386,The Weeping Meadow,,"Drama, History"
387,Dave Chappelle: Killin' Them Softly,,"Comedy, Documentary"
388,Akira,,"Animation, Science Fiction, Action"
389,Pink Floyd: Pulse,,Music
390,Casablanca,,"Drama, Romance"
391,Persona,,Drama
392,BEYONCÉ,,Music
393,Fight Club,,Drama
394,World of Tomorrow Episode Two: The Burden of Other People's Thoughts,,"Science Fiction, Animation, Drama"
395,Madonna: The Confessions Tour,,Music
396,Heat,,"Action, Crime, Drama"
397,TOMORROW X TOGETHER: OUR LOST SUMMER,,"Documentary, Music"
398,Fantastic Mr. Fox,,"Adventure, Animation, Comedy, Family"
399,Alien,,"Horror, Science Fiction"
400,Edvard Munch,,"TV Movie, History, Drama"
401,Welfare,,Documentary
402,Queen: Live at Wembley Stadium,,Music
403,The Owl House: Thanks to Them,,
404,The Battle of Chile: Part II,,Documentary
405,Break the Silence: The Movie,,"Music, Documentary"
406,Throne of Blood,,"Drama, History"
407,The Wrong Trousers,,"Animation, Comedy, Family"
408,Jujutsu Kaisen,,"Animation, Action, Fantasy"
409,The Rise of the Nutters,,Comedy
410,La Notte,,"Drama, Romance"
411,Cyberpunk: Edgerunners,,
412,When the Levees Broke: A Requiem in Four Acts,,
413,Perfect Days,,Drama
414,Hunter × Hunter Pilot,,"Animation, Action, Adventure, Fantasy"
415,The Rose of Versailles,,"Animation, Romance, Drama, History"
416,Nostalgia,,Drama
417,Dead Poets Society,,Drama
418,Network,,Drama
419,Gurren Lagann,,"Action, Comedy, Animation"
420,Black Is… Black Ain’t,,Documentary
421,Double Indemnity,,"Crime, Thriller"
422,The Night of the Hunter,,"Crime, Drama, Thriller"
423,The Third Man,,"Thriller, Mystery"
424,Pulp Fiction,,"Thriller, Crime"
425,The Jinx: The Life and Deaths of Robert Durst,,
426,Evangelion: 3.0+1.0 Thrice Upon a Time,,"Animation, Action, Science Fiction, Drama"
427,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",,Drama
428,Watchmen,,"Mystery, Action, Science Fiction"
429,Emicida: AmarElo - It's All for Yesterday,,"Documentary, Music"
430,Attack on Titan: Wings of Freedom,,"Animation, Action, Fantasy, Adventure"
431,Judgment at Nuremberg,,"Drama, War, History"
432,"War and Peace, Part III: The Year 1812",,"Drama, War, History"
433,Central Station,,Drama
434,Kaiba,,Comedy
435,Metropolis,,"Drama, Science Fiction"
436,Joe Pera Talks You to Sleep,,"Animation, Comedy"
437,Generation Kill,,Documentary
438,The Gay and Wondrous Life of Caleb Gallo,,
439,Meshes of the Afternoon,,"Mystery, Fantasy"
440,Opening Night,,Drama
441,Nirvana: Live at Reading,,"Music, Documentary"
442,Devils on the Doorstep,,"Drama, War"
443,Africa,,Drama
444,The Man Who Shot Liberty Valance,,Western
445,Sonny Boy,,"Drama, Romance, War"
446,Children of Paradise,,"Drama, Romance"
447,Underground,,"Fantasy, Adventure"
448,Ugetsu,,"Fantasy, Drama, Mystery"
449,ODDTAXI,,"Animation, Comedy, Mystery"
