rating_rank,title,year,genres
1213,Sweeney Todd: The Demon Barber of Fleet Street,,"Drama, Horror"
1214,Chimp Empire,,
1215,One Direction: This Is Us,,"Documentary, Music"
1216,The Iron Claw,,"Drama, History"
1217,Grounded II: Making The Last of Us Part II,,Documentary
1218,The Royal Tenenbaums,,"Comedy, Drama"
1219,"So Long, My Son",,Drama
1220,The Florida Project,,Drama
1221,Coming Out,,"Drama, Romance"
1222,Les Misérables: The Staged Concert,,Music
1223,Tale of Tales,,"Animation, Adventure, Action, Fantasy, Family"
1224,Save Ralph,,
1225,The Killer,,"Crime, Thriller"
1226,Cabaret,,"Music, Drama, Romance"
1227,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,,"Documentary, War"
1228,2015 BTS Live The Most Beautiful Moment in Life,花樣年華,Music
1229,m.A.A.d,,"Music, Drama"
1230,A Close Shave,,"Family, Animation, Comedy"
1231,Safety Last!,,"Comedy, Romance"
1232,Harold and Maude,,"Comedy, Drama, Romance"
1233,Last Year at Marienbad,,"Drama, Romance"
1234,Paradise Lost: The Child Murders at Robin Hood Hills,,"Documentary, Crime"
1235,The Red Balloon,,"Comedy, Drama, Family, Fantasy"
1236,Wolf Children,,"Animation, Family, Drama, Fantasy"
1237,Linklater: On Cinema and Time,,Documentary
1238,Jazz,,
1239,"Diaries, Notes, and Sketches",,Documentary
1240,The Makanai: Cooking for the Maiko House,,
1241,She Loves Me,,"Romance, Music, Comedy"
1242,Short Cuts,,"Drama, Comedy"
1243,Sherlock: Case of Evil,,"Action, Adventure, Crime, Drama, Mystery, Thriller, TV Movie"
1244,Ernest & Celestine,,"Animation, Comedy, Drama, Family, Adventure"
1245,Brazil,,"Comedy, Science Fiction"
1246,Pride & Prejudice,,"Drama, Romance"
1247,An Audience with Adele,,"Music, Documentary"
1248,Blade Runner,,"Science Fiction, Drama, Thriller"
1249,Eat Drink Man Woman,,"Comedy, Drama, Romance"
1250,Mr. Smith Goes to Washington,,"Comedy, Drama"
1251,Cosy Dens,,"Comedy, Drama"
1252,My School President,,Comedy
1253,Chainsaw Man,,"Action, Comedy, Horror, Fantasy"
1254,Roma,,"Comedy, Drama"
1255,All Watched Over by Machines of Loving Grace,,
1256,Tropical Malady,,"Drama, Romance, Fantasy"
1257,The Great Beauty,,Drama
1258,Legally Blonde: The Musical,,"Music, Comedy"
1259,Black Mirror: Shut Up and Dance,,
1260,Bakemonogatari,,
1261,The Final Exit of the Disciples of Ascensia,,"Comedy, Animation, Science Fiction"
1262,Searching for Sugar Man,,"Music, Documentary"
1263,In the Heat of the Sun,,"Drama, Romance"
1264,Violet Evergarden: The Movie,,"Animation, Fantasy, Romance, Drama"
1265,Requiem for a Dream,,"Crime, Drama"
1266,Dont Look Back,,"Documentary, Music"
1267,Close,,Drama
1268,A Touch of Zen,,"Action, Adventure, Fantasy"
1269,House of Cards,,Drama
1270,Petite Maman,,"Drama, Fantasy"
1271,Firefly,,Fantasy
1272,Silenced,,Documentary
1273,Trouble in Paradise,,"Comedy, Crime, Romance"
1274,Memorable,,"Animation, Drama"
1275,Freaks and Geeks: The Documentary,,Documentary
1276,Pink Floyd: The Wall,,"Music, Drama"
1277,The Mask,,"Romance, Comedy, Crime, Fantasy"
1278,Years and Years,,Comedy
1279,Glass,,"Thriller, Drama, Science Fiction"
1280,Runaway,,"Science Fiction, Crime, Thriller, Drama"
1281,Norm Macdonald: Me Doing Standup,,Comedy
1282,Revolution of Our Times,,Documentary
1283,La La Land,,"Comedy, Drama, Romance, Music"
1284,The Times of Harvey Milk,,Documentary
1285,Absolutely,,Music
1286,Floating Weeds,,Drama
1287,Moving,,"Comedy, Family"
1288,Mulan,,"Animation, Family, Adventure"
1289,Camera Buff,,Drama
1290,Harry Potter and the Prisoner of Azkaban,,"Adventure, Fantasy"
1291,Vagabond,,"Comedy, Drama"
1292,The Lovely Month of May,,Documentary
1293,My Dinner with Andre,,Drama
1294,"Up, Down, Fragile",,"Mystery, Drama, Comedy, Romance, Music"
1295,Tokyo Sonata,,"Drama, Family"
1296,12th Fail,,Drama
1297,Tokyo Sonata,,"Drama, Family"
1298,Chadwick Boseman: A Tribute for a King,,Documentary
1299,Hamlet,,Drama
1300,Rabbit Seasoning,,"Animation, Comedy"
1301,Flower of Evil,,"Drama, Fantasy, Western, Horror"
1302,George Carlin: Back in Town,,"Comedy, TV Movie"
1303,The Good Bad Mother,,
1304,The Devil and Daniel Johnston,,"Documentary, Music"
1305,The Crowd,,"Drama, Romance"
1306,Faust,,"Drama, Fantasy"
1307,Late Autumn,,Drama
1308,Haikyuu!! Movie 3: Genius and Sense,,"Animation, Drama"
1309,"Oslo, August 31st",,Drama
1310,Black Panthers,,Documentary
1311,Canoa: A Shameful Memory,,"History, Crime"
1312,Blindspotting,,"Comedy, Crime, Drama"
1313,The Piano Teacher,,"Drama, Romance"
1314,Up,,"Animation, Comedy, Family, Adventure"
1315,Punishment Park,,"Drama, Thriller"
1316,Anbe Sivam,,"Comedy, Drama"
1317,In Cold Blood,,"Crime, Drama"
1318,A Dog's Will,,"Comedy, Drama, Fantasy"
1319,Fire of Love,,Documentary
1320,The Recorder Exam,,Drama
1321,"Welcome Back, Mr. McDonald",,Comedy
1322,Time: The Kalief Browder Story,,
1323,Disclosure,,"Thriller, Drama, Crime"
1324,White Heat,,"Crime, Drama, Thriller"
1325,The Brick and the Mirror,,Drama
1326,Shinjuku Boys,,Documentary
1327,Viridiana,,Drama
1328,Killers of the Flower Moon,,"Crime, History, Drama"
1329,Blue Velvet,,"Mystery, Thriller, Crime"
1330,3-Iron,,"Action, Adventure, Science Fiction"
1331,Notorious,,"Thriller, Romance, Mystery"
1332,Paradise Kiss,,"Drama, Romance"
1333,Indiana Jones and the Last Crusade,,"Adventure, Action"
1334,Minari,,Drama
1335,Maborosi,,Drama
1336,Daughters,,Documentary
1337,A Summer's Tale,,"Romance, Drama, Comedy"
1338,The Rescue,,"Documentary, Drama"
1339,The Hero,,Drama
1340,The Office,,"Animation, Horror, Comedy"
1341,Food,,
1342,Beyoncé: Self-Titled,,"Documentary, Music"
1343,"Black Country, New Road - “Live at Bush Hall”",,"Music, Documentary"
1344,News from Home,,Documentary
1345,The Hustler,,"Drama, Romance"
1346,The Owl House: For The Future,,
1347,Metallica and the San Francisco Symphony: S&M,,Music
1348,Invincible,,"Drama, History"
1349,Arctic Monkeys Live at Kings Theatre,,"Music, Documentary"
1350,Ennio,,"Documentary, Music, History"
1351,Patrick Melrose,,
1352,Generation War,,"Action, Science Fiction"
1353,Led Zeppelin: Celebration Day,,Music
1354,Limelight,,"Romance, Drama, Music"
1355,Linda Linda Linda,,"Adventure, Crime, Drama"
1356,When We Were Kings,,Documentary
1357,Flower Boy: A Conversation,,Documentary
1358,Guaxuma,,"Animation, Drama"
1359,Roger Waters: The Wall,,"Music, Documentary"
1360,Apollo 11,,"Documentary, History, Drama"
1361,Women on the Verge of a Nervous Breakdown,,"Comedy, Drama"
1362,The Battle of Chile: Part III,,Documentary
1363,ERASED,,"Action, Thriller"
1364,Elevator to the Gallows,,"Crime, Drama, Thriller"
1365,Mangrove,,Drama
1366,North & South,,"Adventure, Drama, Action, History, Thriller"
1367,To Kill a Mockingbird,,Drama
1368,Certified Copy,,"Drama, Romance"
1369,The Meetings of Anna,,Drama
1370,Thief,,"Crime, Thriller, Action"
1371,The Nightingale's Prayer,,"Drama, Romance"
1372,Possession,,Horror
1373,Monterey Pop,,"Music, Documentary"
1374,The Cameraman,,"Comedy, Romance, Drama"
1375,The Wind Rises,,"Drama, Animation, Romance, War, History"
1376,Spotlight,,"Drama, History"
1377,Tome of the Unknown: Harvest Melody,,"Animation, Adventure"
1378,SKY Castle,,"Adventure, Fantasy, Animation, Action, Family, Romance"
1379,Another Round,,"Comedy, Drama"
1380,Gunbuster,,"Animation, Science Fiction, Drama, Action, Adventure"
1381,Ghost in the Shell,,"Action, Animation, Science Fiction"
1382,Triumph Over Violence,,"Documentary, History, War"
1383,No Other Land,,Documentary
1384,Son of Saul,,"War, Drama, Thriller"
1385,Ikebukuro West Gate Park,,"Drama, Mystery, Crime, Action"
1386,Johnny Guitar,,"Western, Drama, Romance"
1387,Grim,,Horror
1388,For All Mankind,,"Documentary, History"
1389,"His Motorbike, Her Island",,"Romance, Drama"
1390,The Twilight Samurai,,"Drama, Romance"
1391,Onibaba,,Horror
1392,The Quince Tree Sun,,Documentary
1393,Au Hasard Balthazar,,Drama
1394,The Land,,Drama
1395,Casting Blossoms to the Sky,,"Fantasy, Drama, War"
1396,Godzilla Minus One,,"Science Fiction, Horror, Action"
1397,Katatsumori,,Documentary
1398,BLACKPINK: The Show,,Music
1399,One Direction: Up All Night - The Live Tour,,"Music, Documentary"
1400,"Bashu, the Little Stranger",,"Drama, War"
1401,And Then We Danced,,"Drama, Romance"
1402,The Wild Bunch,,Western
1403,Peter Pan Goes Wrong,,"Comedy, Family, Music"
1404,I Dream in Another Language,,"Fantasy, Drama"
1405,Long-Haired Hare,,"Animation, Comedy, Music"
1406,Paprika,,Drama
1407,Anora,,"Comedy, Drama, Romance"
1408,Devilman Crybaby,,
1409,Death by Hanging,,"Comedy, Drama"
1410,L'Avventura,,"Drama, Mystery"
1411,The Thin Red Line,,"Drama, History, War"
1412,A Fugitive from the Past,,"Crime, Drama, Mystery"
1413,Paint Drying,,
1414,The Second Night,,Drama
1415,Mysteries of Lisbon,,Drama
1416,Ballad of a Soldier,,"Drama, Romance, War"
1417,Los Angeles Plays Itself,,Documentary
1418,In Space with Markiplier: Part 2,,"Adventure, Comedy, Science Fiction"
1419,World on a Wire,,Documentary
1420,Fires on the Plain,,"Drama, War"
1421,One Day,,"Horror, Science Fiction, Thriller"
1422,Fighting in the Age of Loneliness,,
1423,Joe Pera Helps You Find the Perfect Christmas Tree,,"Comedy, TV Movie"
1424,Hot Fuzz,,"Crime, Action, Comedy"
1425,The Disastrous Life of Saiki K.: Reawakened,,
1426,Don't Hug Me I'm Scared 6,,"Animation, Horror, Music, Fantasy"
1427,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,,"Action, Comedy, Science Fiction, Animation"
1428,Shrek,,"Animation, Comedy, Fantasy, Adventure, Family"
1429,Fleetwood Mac: The Dance,,"Music, Documentary"
1430,Sonatine,,"Action, Crime, Thriller"
1431,Dangerous Days: Making 'Blade Runner',,Documentary
1432,They Don't Wear Black Tie,,Drama
1433,Earthlings,,Documentary
1434,My True Brilliant Friend,,Documentary
1435,A Story of Yonosuke,,"Drama, Romance, Comedy"
1436,Diary of a Country Priest,,Drama
1437,"Love, Antosha",,Documentary
1438,"Monsters, Inc.",,"Animation, Comedy, Family"
1439,Only Angels Have Wings,,"Romance, Adventure, Drama"
1440,Rocky,,Drama
1441,Reminiscences of a Journey to Lithuania,,Documentary
1442,"What's Up, Doc?",,"Comedy, Romance"
1443,Thin Watermelon,,
1444,The Rules of the Game,,"Drama, Comedy, Romance"
1445,"Blue Mountains, or Unbelievable Story",,"Comedy, Drama"
1446,Paperman,,"Animation, Family, Romance"
1447,The Phantom Carriage,,"Drama, Fantasy, Horror"
1448,Instrument,,"Documentary, Music"
1449,Ethos,,Documentary
1450,Fawlty Towers Revisited,,"Documentary, TV Movie"
1451,Beyoncé: I Am... World Tour,,"Music, Documentary"
1452,Kamikaze Girls,,Comedy
1453,Matewan,,"Drama, History"
1454,The Fall,,"Action, Comedy"
1455,The Amazonian Angel,,Documentary
1456,Decker: Port of Call: Hawaii,,"Action, Thriller, Comedy, TV Movie"
1457,Cowboy Bebop: The Movie,,"Action, Animation, Science Fiction"
1458,Fire in Castilla,Tactilvision from the Moor of the Fright,"Documentary, Animation"
1459,"One Sings, the Other Doesn't",,Drama
1460,The Guy Who Didn't Like Musicals,,"Music, Comedy, Horror"
1461,Blue Collar,,"Drama, Crime"
1462,Being John Malkovich,,"Comedy, Drama, Fantasy"
1463,Naked,,Comedy
1464,Céline,,"Documentary, Music"
1465,Made In Abyss,,"Animation, Adventure, Fantasy, Mystery, Drama, Science Fiction"
1466,Concerning Violence,,Documentary
1467,Orpheus,,"Drama, Thriller, TV Movie"
1468,Bitter Lake,,Documentary
1469,The Trap: What Happened to Our Dream of Freedom,,
1470,The Cabinet of Dr. Caligari,,"Drama, Horror, Thriller, Crime"
1471,My house walk-through,,Horror
1472,Run with the Wind,,Drama
1473,Sense8: Happy F*cking New Year,,
1474,I Am a Fugitive from a Chain Gang,,"Drama, Crime"
1475,Gentleman Jack,,Documentary
1476,My Darling Clementine,,"Western, Romance, Drama"
1477,Stroszek,,Drama
1478,Society of the Snow: Who Were We on the Mountain?,,Documentary
1479,Damnation,,"Animation, Horror, Action"
1480,5 Seconds of Summer: The Feeling of Falling Upwards - Live from Royal Albert Hall,,Music
1481,28 Up,,Documentary
1482,Vincenzo,,Drama
1483,"Hi, How Are You Daniel Johnston?",,Documentary
1484,The Crown,,Documentary
1485,Letter from an Unknown Woman,,"Drama, Romance"
1486,Our Beloved Summer,,
1487,The Bad Sleep Well,,"Crime, Drama, Thriller"
1488,The Incredibles,,"Action, Adventure, Animation, Family"
1489,Made in Hong Kong,,"Crime, Drama, Comedy"
1490,The Work,,Documentary
1491,The Big Heat,,"Crime, Thriller"
1492,The Witness,,
1493,Zoku Owarimonogatari,,"Animation, Comedy, Mystery, Fantasy"
1494,Roots,,Drama
1495,Vive L'Amour,,Drama
1496,Racionais MC's: From the Streets of São Paulo,,"Documentary, Music"
1497,Phantom of the Paradise,,"Music, Comedy, Horror"
1498,The Hour of Liberation Has Arrived,,Documentary
1499,Emicida: AmarElo – Ao Vivo,,"Music, Documentary"
1500,Forever a Woman,,Drama
1501,Mad About Men,,"Fantasy, Drama, Comedy, Romance"
1502,Primal: Tales of Savagery,,"Action, Adventure, Animation, Drama"
1503,Ryuichi Sakamoto: Coda,,"Documentary, Music"
1504,Hasan Minhaj: Homecoming King,,"Comedy, Documentary"
1505,Our Little Sister,,"Drama, Family"
1506,L.A. Confidential,,"Crime, Mystery, Thriller"
1507,Our Blues,,"Romance, Drama"
1508,Die Hard,,"Action, Thriller"
1509,August in the Water,,"Science Fiction, Drama, Fantasy"
1510,Kanye With Special Guest Drake - Free Larry Hoover Benefit Concert,,"Music, Documentary"
1511,Homeland: Iraq Year Zero,,Documentary
1512,"It's the Great Pumpkin, Charlie Brown",,"Family, Animation, TV Movie, Comedy"
1513,"It's the Great Pumpkin, Charlie Brown",,"Family, Animation, TV Movie, Comedy"
1514,The Simpsons Christmas Special,,
1515,Adele: Live at the Royal Albert Hall,,Music
1516,The Kingdom of Dreams and Madness,,Documentary
1517,Under the Queen's Umbrella,,
1518,Before Midnight,,"Romance, Drama"
1519,Gone Girl,,"Mystery, Thriller, Drama"
1520,The Tree of Wooden Clogs,,Drama
1521,Black Bird,,"Drama, War"
1522,3 Idiots,,"Drama, Comedy"
1523,Niall Horan: Live at the Royal Albert Hall,,"Music, Documentary"
1524,102 Minutes That Changed America,,Documentary
1525,The Earrings of Madame de...,,"Drama, Romance"
1526,Down by Law,,"Crime, Drama, Comedy"
1527,From the Earth to the Moon,,"Science Fiction, Adventure"
1528,Secret Sunshine,,Drama
1529,A Heist with Markiplier,,"Adventure, Comedy, Crime"
1530,Date Wine,,Drama
1531,Lessons in Chemistry,,
1532,Southern Comfort,,"Action, Thriller"
1533,Idiot Prayer: Nick Cave Alone at Alexandra Palace,,Music
1534,Lady Snowblood,,"Action, Crime, Drama"
1535,Beauty and the Beast,,"Romance, Family, Animation, Fantasy"
1536,Iruvar,,Drama
1537,Barton Fink,,"Comedy, Drama"
1538,Us and Them,,"Drama, Romance"
1539,Someday or One Day,,"Mystery, Romance, Science Fiction, Fantasy"
1540,The Insider,,"Drama, Thriller"
1541,Homework,,"Comedy, Drama"
1542,Die Nibelungen: Kriemhild's Revenge,,"Adventure, Drama, Fantasy"
1543,The Farewell,,"Comedy, Drama"
1544,Caché,,"Mystery, Drama, Thriller"
1545,This Transient Life,,Drama
1546,Oasis,,"Drama, Science Fiction"
1547,"Lost, Lost, Lost",,"Action, Adventure, Fantasy"
1548,Kill Bill: Vol. 2,,"Action, Crime, Thriller"
1549,Taylor Swift: Live On the Seine,,"TV Movie, Music, Documentary"
1550,Anticipation of the Night,,Documentary
1551,Jimin's Production Diary,,"Documentary, Music"
1552,Hunt for the Wilderpeople,,"Adventure, Comedy, Drama"
1553,Being There,,"Comedy, Drama"
1554,The Smiling Friends Go to Brazil!,,
1555,IU CONCERT : The Golden Hour,,"Music, Documentary"
1556,Sunny,,"Comedy, Drama"
1557,It's Okay to Not Be Okay,,"Comedy, Action"
1558,Asobi Asobase - workshop of fun -,,
1559,The Usual Suspects,,"Drama, Crime, Thriller"
1560,Mass,,Drama
1561,Time,,Documentary
1562,Common Threads: Stories from the Quilt,,"History, Documentary"
1563,Boiling Point,,"Drama, Thriller"
1564,La Chimera,,"Adventure, Comedy, Fantasy, Drama, History"
1565,A Simple Event,,Drama
1566,Ponyo,,"Animation, Fantasy, Family"
1567,The Night It Rained,,Documentary
1568,Wasteland,,"Horror, Drama"
1569,Caliphate,,Drama
1570,Robin Williams: An Evening at the Met,,"Comedy, TV Movie"
1571,Jazz on a Summer's Day,,"Documentary, Music"
1572,The Fire Within: Requiem for Katia and Maurice Krafft,,Documentary
1573,Summer Strike,,"Action, Comedy, Fantasy, Science Fiction"
1574,Adele One Night Only,,"Music, Documentary"
1575,Fiddler on the Roof,,"Drama, Romance"
1576,Wheel of Fortune and Fantasy,,"Drama, Romance"
1577,Tomorrow,,"Drama, Romance"
1578,Scotch Mist: A Film with Radiohead in It,,Documentary
1579,"Hail, Sarajevo",,War
1580,This Is England,,"Drama, Crime"
1581,The Valley of the Bees,,"Drama, History"
1582,Forbidden Games,,"Drama, War"
1583,Decalogue IV,,"Drama, TV Movie"
1584,The Thin Blue Line,,"Crime, Documentary"
1585,The Arrested Development Documentary Project,,"Documentary, Comedy"
1586,Dou kyu sei – Classmates,,"Romance, Animation"
1587,Duck Dodgers in the 24½th Century,,"Animation, Comedy, Science Fiction"
1588,The Wrestler,,"Drama, Romance"
1589,Eros + Massacre,,Drama
1590,Strangers on a Train,,"Crime, Thriller"
1591,Piper,,"Family, Animation"
1592,Barakamon,,
1593,Hospital,,Documentary
1594,Elton John Live: Farewell from Dodger Stadium,,Music
1595,Burden of Dreams,,Documentary
1596,The Freddie Mercury Tribute Concert,,"Music, Documentary"
1597,U.S. Go Home,,"TV Movie, Drama"
1598,What the Constitution Means to Me,,Drama
1599,Roger Waters: Us + Them,,"Music, Documentary"
1600,Abraham's Valley,,Drama
1601,Nine Queens,,"Crime, Thriller, Drama"
1602,Blue Giant,,"Animation, Drama, Music"
1603,Pain and Glory,,Drama
1604,Who's Singin' Over There?,,"Drama, Comedy, Adventure"
1605,Flight of the Conchords: Live in London,,"Comedy, Music"
1606,Incomplete Life,,Drama
1607,What Time Is It There?,,"Drama, Romance"
1608,Burning,,Documentary
1609,National Theatre Live: Cyrano de Bergerac,,"Drama, Romance"
1610,Adventure Time: Elements,,
1611,Ed Wood,,"Comedy, Drama, History"
1612,House of Hummingbird,,Drama
1613,FEUD,,Drama
1614,Volver,,"Comedy, Drama, Romance"
1615,K-On! The Movie,,"Animation, Family, Adventure, Comedy, Music"
1616,Ergo Proxy,,
1617,Let the Right One In,,"Horror, Drama"
1618,Carandiru,,Drama
1619,Love Letter,,"Drama, Romance"
1620,Out 1,,"Mystery, Drama"
1621,Cheburashka,,"Animation, Family"
1622,One Cut of the Dead,,"Comedy, Horror"
1623,Kotaro Lives Alone,,
1624,No Longer Kids,,"Drama, TV Movie, Comedy"
1625,ZeroZeroZero,,
1626,The Princess Bride,,"Adventure, Family, Fantasy, Comedy, Romance"
1627,All That Heaven Allows,,"Drama, Romance"
1628,Shane Gillis: Live in Austin,,Comedy
1629,The Rocking Horsemen,,Comedy
1630,Yokohama Kaidashi Kikou,,
1631,Mikey and Nicky,,"Crime, Drama"
1632,Lost Highway,,"Drama, Thriller, Mystery"
1633,Silicon Valley,,Documentary
1634,Where Does Your Hidden Smile Lie?,,Documentary
1635,Goodbye Jerome!,,"Animation, Family, Fantasy"
1636,Invisible Life,,Drama
1637,Doctor Who: The End of Time,,
1638,Ratcatcher,,Drama
1639,10 Years with Hayao Miyazaki,,
1640,Tom Petty and the Heartbreakers: Runnin' Down a Dream,,"Documentary, Music"
1641,"Black Cat, White Cat",,"Comedy, Romance, Crime"
1642,Bill Hicks: Relentless,,Comedy
1643,Butterfly in the Sky,,Documentary
1644,The Wind,,"Western, Horror, Thriller"
1645,Taipei Story,,Drama
1646,dead poets in nyc,,"Documentary, History"
1647,Hunter × Hunter: Greed Island,,
1648,Repentance,,"Horror, Thriller"
1649,The Train,,"War, Thriller"
1650,Redline,,"Action, Thriller"
1651,Queen Charlotte: A Bridgerton Story,,
1652,The Quiet Girl,,Drama
1653,Shoeshine,,"Comedy, Drama"
1654,Shrek 2,,"Animation, Family, Comedy, Fantasy, Adventure, Romance"
1655,A Bride for Rip Van Winkle,,Drama
1656,The Children's Hour,,Drama
1657,Dead Souls,,Horror
1658,When Harry Met Sally...,,"Comedy, Romance, Drama"
1659,A Bride for Rip Van Winkle,,Drama
1660,Hovering Over the Water,,"Drama, Romance"
1661,The IT Crowd Manual,,"Comedy, Documentary"
1662,The Organizer,,
1663,In This Corner of the World,,"Drama, Animation, Romance, War, History"
1664,Goblin,,"Horror, Fantasy, Science Fiction"
1665,Taxi Driver,,"Crime, Drama"
1666,Top Gear: The Burma Special,,"Documentary, Comedy"
1667,Happy End,,Drama
1668,Betty Tells Her Story,,Documentary
1669,Our Planet: Behind The Scenes,,Documentary
1670,The Saragossa Manuscript,,"Drama, History, Comedy, Fantasy, Mystery"
1671,His Girl Friday,,"Comedy, Romance"
1672,La Flor,,"Drama, Fantasy, Thriller"
1673,How to Die in Oregon,,Documentary
1674,The Breadwinner,,"Animation, War, Drama, Family"
1675,Free Solo,,"Documentary, Adventure"
1676,Bo Burnham: What.,,"Comedy, Documentary"
1677,Return of the Jedi,,"Adventure, Action, Science Fiction"
1678,The Street Player,,Drama
1679,Princes and Princesses,,"Drama, Animation, Fantasy, Comedy, Family, Romance, Mystery, Adventure"
1680,The Visitors,,"Drama, Crime, Thriller"
1681,I Like Life a Lot,,"Animation, Documentary"
1682,Black Girl,,Drama
1683,Mildred Pierce,,"Crime, Drama"
1684,Robot Dreams,,"Animation, Drama, Comedy, Science Fiction"
1685,Eternity,,"Romance, Comedy"
1686,Microcosmos,,
1687,Nothing But a Man,,"Drama, Romance"
1688,"Crouching Tiger, Hidden Dragon",,"Adventure, Drama, Action, Romance"
1689,We Own This City,,
1690,Land of Silence and Darkness,,Documentary
1691,Tangerines,,"Drama, War"
1692,Songs from the Second Floor,,"Drama, Comedy"
1693,Letter Never Sent,,"Drama, Adventure"
1694,Sherlock: The Sign of Three,,
1695,42 Up,,Documentary
1696,Platform,,Drama
1697,La Cérémonie,,"Drama, Thriller"
1698,Lady Parts,,"Comedy, Drama"
1699,Syndromes and a Century,,"Drama, Romance"
1700,Bad Buddy,,Drama
1701,A Little Life,,Drama
1702,True Stories,,"Comedy, Music"
1703,Riot Police,,"Action, Animation, Science Fiction"
1704,Nightcrawler,,"Crime, Drama, Thriller"
1705,Muhammad Ali,,"Drama, TV Movie"
1706,Flowers of Evil,,"Drama, Romance, Thriller"
1707,Boyfriends and Girlfriends,,"Romance, Drama, Comedy"
1708,The War Game,,"War, TV Movie"
1709,Thalapathi,,"Action, Crime, Drama"
1710,Godzilla,,"Action, Drama, Science Fiction"
1711,The Taking of Pelham One Two Three,,"Crime, Thriller, Action, Drama"
1712,Supermarket Woman,,"Comedy, Drama"
1713,Castle in the Sky,,"Adventure, Fantasy, Animation, Action, Family, Romance"
1714,Princess Jellyfish,,Comedy
1715,The Runner,,Drama
1716,Doctor Who: The Caves of Androzani,,"Adventure, Drama, Science Fiction, TV Movie"
1717,Pierrot le Fou,,"Drama, Romance, Crime"
1718,Jacqueline Novak: Get on Your Knees,,Comedy
1719,Legend of the Galactic Heroes: Overture to a New War,,"Animation, Science Fiction, War"
1720,Hunger,,"Drama, History"
1721,Almost Famous,,"Drama, Music"
1722,"Heidi, Girl of the Alps",,"Animation, Family, Adventure"
1723,Agnès Varda: From Here to There,,Documentary
1724,The Music Room,,"Drama, Music"
1725,Boy,,"Action, Crime, Thriller, Comedy"
1726,The 3rd Annual Live 'On Cinema' Oscar Special,,
1727,Death's Game,,"Drama, Action"
1728,Carlito's Way,,"Crime, Drama, Thriller"
1729,Sink or Swim,,"Drama, Comedy"
1730,Tripping with Nils Frahm,,"Music, Documentary"
1731,Carlito's Way,,"Crime, Drama, Thriller"
1732,Hair Love,,"Animation, Family, Comedy"
1733,Castaway on the Moon,,"Drama, Comedy, Romance"
1734,2046,,"Drama, Science Fiction, Romance"
1735,Vampire Hunter D: Bloodlust,,"Animation, Fantasy, Horror, Action"
1736,World War II: From the Frontlines,,
1737,The Circus,,"Comedy, Romance"
1738,Bruce Springsteen & The E Street Band - The Legendary 1979 No Nukes Concerts,,Music
1739,I Saw the Devil,,"Thriller, Horror"
1740,Dororo,,"Action, Fantasy, Horror, Science Fiction"
1741,The Wind Will Carry Us,,Drama
1742,Wolf Hall,,Documentary
1743,Hedwig and the Angry Inch,,"Comedy, Music, Drama"
1744,The Great War,,"History, War, Drama, Action"
1745,It Felt Like a Kiss,,"History, Music, Documentary"
1746,Uncle Yanco,,Documentary
1747,MTV Unplugged Presents: BTS,,Music
1748,Boyz n the Hood,,"Crime, Drama"
1749,Inside Llewyn Davis,,"Drama, Music"
1750,49 Up,,Documentary
1751,Richard Pryor: Live in Concert,,"Comedy, Documentary"
1752,First Reformed,,Drama
1753,Badlands,,"Crime, Drama, Romance"
1754,The 8 Diagram Pole Fighter,,"Action, Drama"
1755,Red Dead Redemption: The Man from Blackwater,,"Animation, Western"
1756,Top Gear: Bolivia Special,,"Documentary, Comedy"
1757,Annie Hall,,"Comedy, Drama, Romance"
1758,The 10th Annual On Cinema Oscar Special,,Comedy
1759,Corpus Christi,,Drama
1760,Lady Vengeance,,"Drama, Thriller"
1761,Kind Hearts and Coronets,,"Comedy, Crime"
1762,Slowdive: Souvlaki,,"Music, Documentary"
1763,Now and Then - The Last Beatles Song,,"Documentary, Music"
1764,Mad Max: Fury Road - Introduction to Black & Chrome Edition by George Miller,,Action
1765,The White Meadows,,Drama
1766,"Three Billboards Outside Ebbing, Missouri",,"Crime, Drama"
1767,The Marriage of Maria Braun,,Drama
1768,The Last Laugh,,Comedy
1769,My Name,,"Action, Crime, Adventure, Thriller"
1770,Rowan Atkinson Live,,Comedy
1771,His and Her Circumstances,,
1772,Videograms of a Revolution,,Documentary
1773,Finding Nemo,,"Animation, Family"
1774,Brush Up Life,,
1775,The Lighthouse,,"Drama, Fantasy, Thriller"
1776,The Zen Diaries of Garry Shandling,,
1777,The Twilight Zone: A 60th Anniversary Celebration,,"Documentary, Drama, Thriller, Mystery, Science Fiction"
1778,Frances Ha,,"Comedy, Drama"
1779,Woman,,Documentary
1780,Laapataa Ladies,,"Comedy, Drama"
1781,Doctor Who: Remembrance of the Daleks,,"Science Fiction, Drama, Adventure"
1782,The Dawn Wall,,"Documentary, Adventure"
1783,The Kingdom,,"Science Fiction, Adventure, Action"
1784,Mrs. America,,
1785,Survive and Advance,,Documentary
1786,The Hill,,"History, Drama"
1787,Crashing,,"Romance, Comedy, Drama"
1788,Mouchette,,Drama
1789,Catch Me If You Can,,"Drama, Crime"
1790,Kramer vs. Kramer,,Drama
1791,The Singing Detective,,"Comedy, Music, Mystery, Crime"
1792,Disney's FastPass: A Complicated History,,
1793,Jojo Rabbit,,"Comedy, War, Drama"
1794,M3LL155X,,"Music, Drama"
